"ROW","ResponseId","AGECAT"
"172","R_3hoQaUhQmdrMQNu","51-60"
"173","R_1KxmjkSMswbIVoa",NA
"174","R_1EWrjKKD3C7nOfG","51-60"
"175","R_294UaJg5K0IqWHv","18-30"
"176","R_PRmiglEIiRyI5UZ","41-50"
"177","R_SJkq3MMXNjD6mPL","41-50"
"178","R_3foOky2mqQYAdEe","31-40"
"179","R_2R4jZy6naEYrxUH","18-30"
"180","R_3MohEnPxHSCbCqm","18-30"
"181","R_YczF4KNnid4bUm5",NA
"182","R_2EFhhfgBnRwNtO3","18-30"
"183","R_2UVDNe0gLMiN42y","18-30"
"184","R_1Nqf9IqoRFeRPqP","18-30"
"185","R_x4s0kiBD9atxb0d","18-30"
"186","R_xtKQqzc4JlUwl4l","31-40"
"187","R_1PcMmk9Le7qAAme","41-50"
"188","R_3m4YaRe6xOefCj0","41-50"
"189","R_3fpXNDAq1YSQyp8","41-50"
"190","R_3m47vDZL7xFnO7g","31-40"
"191","R_3gZynjPY6z5sXDE","61-70"
"192","R_23f20e4mz1gSJ1Q","61-70"
"193","R_2SDhwFUg4nssqEM","31-40"
"194","R_3RxCMDysXGY9i00","51-60"
"195","R_2TuYWHU3mmS36HS","18-30"
"196","R_2cuVALgDyi7Iom6","18-30"
"197","R_1LFphpgojoNlRxc","31-40"
"198","R_1jJojet6ARArijy","61-70"
"199","R_2XbNEPV39MmW2t3","18-30"
"200","R_2U9Jq0pQF7dOaAz","18-30"
"201","R_2P5AnS1jC0zuFEU","18-30"
"202","R_01lCgwAOOJ66wZH","41-50"
"203","R_2qEpgfd2zkogB4x","61-70"
"204","R_2wyivxksUysywKI","31-40"
"205","R_1ey2TReNLqQK4mk","41-50"
"206","R_1QuVolglHK5f1Ii","18-30"
"207","R_2dhIfvutxaitxvT","41-50"
"208","R_2AWLvZsvDVHJukc","31-40"
"209","R_1KvFxil7aPCwYZu","18-30"
"210","R_3scdJA9YT6EaBiw","18-30"
"211","R_24IZ7XXH8A3L1GC","61-70"
"212","R_239Ow2UXfZzhXJC","41-50"
"213","R_1E6etQr387HFdHu","41-50"
"214","R_suGd6Wsngd4zcyd","18-30"
"215","R_PRSv8RMq9x7AYO5","41-50"
"216","R_1MTg19LaTNaSB0s","18-30"
"217","R_2wuU1dESpfRVhQo","31-40"
"218","R_25NnjizqWPbFKKd",NA
"219","R_eJLVZBFz5GFbKNP","31-40"
"220","R_1LIgnoquGoyW9WL","41-50"
"221","R_yrQyNBNFVBNZ8JP","41-50"
"222","R_2b2VJi2uGAIRiuM","18-30"
"223","R_2f0xtbRiVphQ6ON","41-50"
"224","R_0eWAz2X1BLYzhId","18-30"
"225","R_3HkqTP86hubBI3E","51-60"
"226","R_RWWo2vq5W2ueaWt","18-30"
"227","R_9NZx0jGCC6vUvNT","18-30"
"228","R_XzVDNugwklAYfLz","51-60"
"229","R_5jOVvRyVHCsOCC5","51-60"
