Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
644481ba372e72269eb7188f,5d9eb6d611b7c400172aa975,APPROVED,2023-04-23T00:54:27.254000Z,2023-04-23T01:21:00.864000Z,2023-04-23T01:21:01.276000,2023-04-23T01:21:01.219261Z,1594,CTR530VA,3053,English,44,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
644481bebe6ea678f2ad2385,5e48122927eb23000af799c7,APPROVED,2023-04-23T00:54:25.899000Z,2023-04-23T00:59:59.277000Z,2023-04-23T00:59:59.715000,2023-04-23T00:59:59.657440Z,334,CTR530VA,3532,English,45,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
644481c42606245226dd6ec4,614e8713ba7000ac40031538,APPROVED,2023-04-23T00:54:30.930000Z,2023-04-23T01:02:29.378000Z,2023-04-23T01:02:29.834000,2023-04-23T01:02:29.781033Z,479,CTR530VA,2639,English,48,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
644481c9b93913d3a9b0b8e3,63ea5c7fa50c5876a6229d88,APPROVED,2023-04-23T00:54:37.834000Z,2023-04-23T01:01:30.657000Z,2023-04-23T01:01:31.084000,2023-04-23T01:01:31.007371Z,413,CTR530VA,100,English,20,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED
644481ec9a092d30920e4699,62d4c5676e4f202832300e40,APPROVED,2023-04-23T00:55:13.538000Z,2023-04-23T01:00:19.215000Z,2023-04-23T01:00:19.620000,2023-04-23T01:00:19.550131Z,306,CTR530VA,822,"English, Spanish",40,Male,White,United States,United States,United States,English,No,Full-Time
644481fa9678a5f73a13be85,6400dde6a2159a3e6636f677,APPROVED,2023-04-23T00:55:29.926000Z,2023-04-23T01:02:52.287000Z,2023-04-23T01:02:52.786000,2023-04-23T01:02:52.719014Z,443,CTR530VA,145,English,25,Male,Black,United States,United States,United States,English,No,Part-Time
644481fff5ad2e264e5464cf,5f4c80a4acc80f89fd507fdc,APPROVED,2023-04-23T00:55:32.500000Z,2023-04-23T01:04:31.579000Z,2023-04-23T01:04:32.018000,2023-04-23T01:04:31.942540Z,540,CTR530VA,132,English,40,Male,White,Japan,United States,United States,English,No,Unemployed (and job seeking)
6444820b1bd63e28b5d952b6,63e5235804bfdf780a0566b2,APPROVED,2023-04-23T00:55:43.587000Z,2023-04-23T01:01:58.193000Z,2023-04-23T01:01:58.739000,2023-04-23T01:01:58.679654Z,375,CTR530VA,195,English,40,Male,White,United States,United States,United States,English,No,Full-Time
6444820d7f10c06f101943dc,5f75f66541d27f011212af83,APPROVED,2023-04-23T00:55:44.613000Z,2023-04-23T01:00:25.591000Z,2023-04-23T01:00:26.006000,2023-04-23T01:00:25.953201Z,281,CTR530VA,430,English,28,Female,Mixed,United States,United States,United States,English,Yes,Full-Time
6444823b368c0e8a92681019,63e4af1e26e65faec791d8eb,APPROVED,2023-04-23T00:56:34.020000Z,2023-04-23T01:03:21.635000Z,2023-04-23T01:03:22.083000,2023-04-23T01:03:22.020301Z,408,CTR530VA,609,English,57,Male,White,United States,United States,United States,English,No,Full-Time
6444823d7f10c06f101943e7,55b90235fdf99b26070d7663,APPROVED,2023-04-23T00:56:32.556000Z,2023-04-23T01:00:08.096000Z,2023-04-23T01:00:08.807000,2023-04-23T01:00:08.738992Z,216,CTR530VA,1787,English,42,Female,White,United States,United States,United States,English,No,Full-Time
644482426c7fec0b5e0ca41d,62b09bc02efbcc7d0dd81f3b,APPROVED,2023-04-23T00:56:37.909000Z,2023-04-23T01:00:53.190000Z,2023-04-23T01:00:53.585000Z,2023-04-23T01:00:55.635366Z,256,CTR530VA,604,English,27,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
644482490a12cff931ab2ca4,55d5e2c9db6a810006fa078b,APPROVED,2023-04-23T00:56:46.591000Z,2023-04-23T01:01:33.427000Z,2023-04-23T01:01:33.825000,2023-04-23T01:01:33.760727Z,287,CTR530VA,4532,English,39,Female,Asian,Philippines,United States,United States,Tagalog-Filipino,No,Full-Time
6444825e9678a5f73a13be93,5cbf5b488be75a0016b49758,APPROVED,2023-04-23T00:57:05.672000Z,2023-04-23T01:00:43.435000Z,2023-04-23T01:00:45.907000,2023-04-23T01:00:45.833831Z,218,CTR530VA,4553,English,45,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
644482650bde62e12e1782e6,63e554b7631c8ec3ce069e32,APPROVED,2023-04-23T00:57:09.621000Z,2023-04-23T01:02:58.986000Z,2023-04-23T01:02:59.452000,2023-04-23T01:02:59.393039Z,350,CTR530VA,455,English,46,Male,Asian,Lao People's Democratic Republic,United States,United States,Laotian,No,Unemployed (and job seeking)
64448265d1010a84110ca3f3,5eb342dff78ab11407daf144,APPROVED,2023-04-23T00:57:11.916000Z,2023-04-23T01:03:07.360000Z,2023-04-23T01:03:07.758000,2023-04-23T01:03:07.699651Z,356,CTR530VA,2329,English,23,Female,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
6444826862542b39f79872bf,60ee94db81cb621683412b8a,APPROVED,2023-04-23T00:57:16.212000Z,2023-04-23T01:21:31.277000Z,2023-04-23T01:21:31.751000,2023-04-23T01:21:31.683913Z,1456,CTR530VA,1072,English,27,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
